mol_id,total_atoms,stable_ratio,exp_id,dummy_atoms,samples,silvr,comment,crude_rmsd,is_fragmented,qed,sa,smiles,auto3d_rmsd
mol_2023_02_23_1604481_000,31,0.7741935483870968,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",4.83874644621126,False,0.1092031692554788,8.038863288020101,[H]NN([H])C([H])(OC([H])([H])[H])/C([H])=C1/OC1([H])/C([H])=C(/[H])C([H])([H])C([H])([H])O[C@@]1(O)N([H])C1([H])[H],2.0733664532524627
mol_2023_02_23_1541150_000,31,0.8387096774193549,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.524461310044765,True,0.4858643624976049,,[H]C([H])([H])OOC([H])([H])[H].[H]C([H])([H])[H].[H]Oc1c([H])c([H])c(O[N+](=O)[O-])c([H])c1[H],
mol_2023_02_23_1316522_000,31,0.7096774193548387,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.005354934137042,True,0.2966691685055969,,[H]N(C([H])([H])[H])C1([H])SC([H])(C(=S)NC#N)C([H])([H])N1[H].[H]NC([H])(C#N)C([H])([H])OC([H])([H])[H],
mol_2023_02_23_1448140_000,31,0.8064516129032258,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.208059464030499,True,0.2112896681745917,,[H]C([H])([H])[S+]=O.[H]N([H])NN([H])NC([H])([N-]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H],
mol_2023_02_23_1441022_000,31,0.9032258064516128,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.940099363753339,False,0.6781262479806682,7.090642493361921,[H]C1=C(C(=O)C([H])([H])N([H])C([H])([H])C([H])([H])c2c([H])c([H])c3nnnnn23)N([H])C([H])([H])S1,1.846214544430399
mol_2023_02_23_1503162_000,31,0.6451612903225806,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.412354142827131,True,0.4215494691076407,,[H]NC1([H])C(=O)C1([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H].[H][N-]C1([H])N([H])C1([H])C([H])([H])C(=O)[N+]([H])=C([H])[H],
mol_2023_02_23_1457323_000,31,0.967741935483871,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",4.858286146781286,False,0.4654379712258933,7.582104879970037,[H]N([H])C([H])([H])C([H])([H])C(=O)C([H])([H])[C@@]1([H])N(C(=O)C([H])([H])[H])[C@@]1([H])N[C@@]1([H])ON1[H],2.3311055240552783
mol_2023_02_23_1420542_000,31,0.7419354838709677,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.0653955305076375,True,0.439297585815909,,[H]N([H])C([H])([H])[C@@]1([H])O[C@@]1([H])NC(=N)C([H])([H])C([H])([H])[H].[H]c1c([H])c([H])c(Cl)c([H])c1[H],
mol_2023_02_23_1532441_000,31,0.935483870967742,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.66784298528212,,,,,
mol_2023_02_23_1422121_000,31,0.7096774193548387,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.341406378435252,True,0.8257698655737163,,[H]NC1([H])Sc2c([H])c([H])nc([H])c2N1[H].[H]c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H],
mol_2023_02_23_1556523_000,31,0.6129032258064516,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.068269242775692,True,0.3510067472492639,,[H]C([H])([H])C([H])([H])C([H])([H])Cl.[H]C([H])([H])[H].[H]C1=C([N-]C(C(=O)N=C=O)=[N+]([H])[H])C([H])([H])C1([H])[H],
mol_2023_02_23_1403571_000,31,0.935483870967742,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.169427783913861,False,0.208617414021361,8.32913222906282,[H]OC([H])(C([N-]C1([H])OC1([H])[H])=[N+]([H])[H])N(C([H])([H])[H])[C@]1([H])C([H])([H])N([H])C([H])([H])C1([H])[H],1.8133168348338686
mol_2023_02_23_1554043_000,31,0.9032258064516128,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",4.746748173433559,False,0.6111921825443152,6.547729391314759,[H]C1=N\C([H])([H])N2C(=O)C([H])([H])C([H])([H])C([H])([H])C(=O)NOC2([H])C([H])([H])/C(NC([H])([H])[H])=N\1,1.8036596479160714
mol_2023_02_23_1401570_000,31,0.8387096774193549,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.746274769221564,True,0.6149263428258854,,[H]C(=C=O)C([H])([H])C([H])([H])C1([H])C([H])=C([H])C(=O)C1([H])[H].[H]NC1=C(C([H])=O)C([H])([H])C([H])=C1[H],
mol_2023_02_23_1443343_000,31,0.7419354838709677,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.600351196394863,False,0.1837015709520643,7.429290625555414,[H]O/C1=N/NN([H])C(=O)C([H])([N+]([H])=C([H])[H])SC1([H])[N-]NN/N=C([H])\C([H])=C(/[H])C([H])([H])[H],2.176804403583876
mol_2023_02_23_1333110_000,31,0.8064516129032258,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.5235877920390735,False,0.6386120164466867,8.115124935269478,[H]/C(=C(/[H])[C@@]([H])(C([H])([H])C([H])([H])[H])C1([H])SN([H])C1([H])c1nc([H])c([H])c([H])c1[H])C([H])([H])[H],2.710415723590452
mol_2023_02_23_1340402_000,31,0.7419354838709677,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",6.083166840083371,True,0.4785399033897165,,[H]C([H])([H])C([H])(C([H])([H])[H])C1([H])OC1=S.[H]NC([H])([H])C(=C=C([H])C([H])([H])SC([H])([H])[H])C([H])([H])[H],
mol_2023_02_23_1524033_000,31,0.7741935483870968,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.292108427244312,True,0.3511202068819475,,[H]C(=O)C([H])(/C([H])=N/Cl)C([H])([H])[H].[H]C([H])([H])C(=O)C([H])([H])C(=O)C1([H])N(C(=O)O)C1([H])[H],
mol_2023_02_23_1326310_000,31,0.8387096774193549,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.297438127153917,True,0.4549614398285602,,[H]C(/C([H])=C1/ON1[H])=[N+](\[H])C([H])([H])C(=O)C([H])([H])[H].[H]C1=C([H])C([H])([H])C([H])=C1[H].[H]N([H])[H],
mol_2023_02_23_1315001_000,31,0.6451612903225806,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",4.992675907201279,True,0.1471612118595613,,[H]C([H])=C=C([H])C([H])([H])C([H])([H])SC([H])([H])C([H])([H])NNC(=O)OC([H])([H])[H].[H]NNNc1nc1=S,
mol_2023_02_23_1546411_000,31,0.8064516129032258,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.777097919846964,False,0.2084889790368634,7.921878219816571,[H]NC([H])(SC([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])/C(=N\OC([H])([H])[H])C([H])([H])N1NC1([H])[H],1.2642188243597712
mol_2023_02_23_1447340_000,31,0.7096774193548387,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.659234285649413,True,0.7284621445164443,,Br.[H]C1=C([H])C([H])([H])C([H])([H])N1.[H]C1=C([H])C([H])([H])C([H])=C1C1([H])C([H])([H])C([H])([H])C([H])=C([H])[C@@]1([H])O,
mol_2023_02_23_1544392_000,31,0.8387096774193549,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",4.9938722151595405,False,0.6560022192912751,7.150051910337326,[H]C1=NC2([H])N(C(=O)N1C([H])([H])[H])[C@]([H])(C([H])([H])[H])C(=O)C2([H])NC([H])([H])[C@]1([H])OC1([H])[H],1.1698874675376307
mol_2023_02_23_1315393_000,31,0.9032258064516128,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",6.002476077842449,True,0.7586566589199579,,[H]C1=C(NC(=S)N(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[C@]([H])(F)C([H])=C1Br.[H]OC([H])([H])C([H])([H])[H],
mol_2023_02_23_1520551_000,31,0.7419354838709677,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.673300833344781,False,0.1279506739055249,7.902906308532646,[H]C([N-]N([H])OC([H])([H])OC([H])(N([H])C([H])([H])/N=C(/[H])C([H])([H])OC([H])([H])[H])C([H])([H])[H])=[N+]([H])[H],1.9133418428151843
mol_2023_02_23_1348273_000,31,0.8387096774193549,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.132937628096057,True,0.4248955297791895,,[H]C1=C([H])C([H])([H])C([H])=C1N([H])C(=O)C([H])(N1C([H])([H])[C@]12NO2)C([H])([H])[H].[H]N([H])C(=O)S,
mol_2023_02_23_1554211_000,31,0.8387096774193549,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",4.817782520956619,True,0.330648635196028,,[H]C([H])([H])C(=C=O)C1=NO1.[H]ON([H])C(=O)C([H])([H])[C@@]([H])(N([H])[H])C([H])([H])C([H])=C=O,
mol_2023_02_23_1540483_000,31,0.967741935483871,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.700137418591613,False,0.7469818833546129,5.7351380128509,[H]C1=C([H])C([H])=C(F)[C@@]([H])(OC([H])([H])C([H])([H])C2=C([H])C([H])=C([H])C([H])([H])C2([H])[H])C1=O,1.4836729462238982
mol_2023_02_23_1427061_000,31,0.8064516129032258,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.388989687435591,False,0.7631180450491367,7.795382112522294,[H]OC1([H])C([H])([H])C([H])(C2=C([H])C([H])=C([H])C([H])([H])S2)C(=O)N(C([H])([H])C([H])([H])[H])[C@]1([H])O[H],0.8252614540198481
mol_2023_02_23_1521470_000,31,0.8387096774193549,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.491532259810312,True,0.1581576509976742,,[H]C1=C([H])C([H])([H])C(C(=O)N(C([H])=[N+]([H])[H])N([H])[H])=N1.[H][N-]C([H])([H])C([H])(C([H])=O)C([H])([H])[H],
mol_2023_02_23_1429363_000,31,0.7096774193548387,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.499975416576183,True,0.2325330952629384,,[H]C([H])([H])C([H])([H])NC([H])([H])C([H])([H])[C@@]1(O)SC1([H])[H].[H]N=C=O.[H]OC([H])([H])C([H])([H])OC([H])([H])[H],
mol_2023_02_23_1610221_000,31,0.8387096774193549,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.212799269430482,True,0.4991796241449507,,[H]C(=O)C(=O)C([H])([H])C([H])([H])C([H])([H])[H].[H]N(C([H])([H])[H])C([H])([H])[C@]([H])(C(=O)O)C([H])([H])[H],
mol_2023_02_23_1514240_000,31,0.7741935483870968,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.865484589436302,True,0.6726514039077346,,[H]C([H])([H])C([H])([H])O.[H]Oc1c([H])c([H])c(N([H])C2=C([H])N(C([H])([H])[H])C2=O)c([H])c1[H],
mol_2023_02_23_1354262_000,31,0.7096774193548387,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.202614901634192,False,0.4477040242019082,8.343189505415078,[H]C1=C([H])C([H])([H])C(N([H])C(=O)N2C([H])([H])[C@@]2(N([H])[H])C2([H])N([H])C([H])([H])[C@]34N[C@]3([H])N24)=C1[H],
mol_2023_02_23_1349540_000,31,0.7741935483870968,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.706254880424693,False,0.0975791326023752,6.885831510917771,[H]O/C(C(=O)C([H])([H])[H])=C1\N=C([H])C2([H])NC2(OC([H])([H])N([H])OSC([H])([H])[H])NC1([H])[H],1.2326792716240502
mol_2023_02_23_1317033_000,31,0.9032258064516128,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.568849817459024,False,0.6679147071332808,6.250323335660991,[H]C([H])=C([H])C([H])([H])SC1([H])C([H])([H])C([H])([H])N(C(=O)C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H],1.651958721510907
mol_2023_02_23_1557210_000,31,0.7741935483870968,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.540812242764652,True,0.640558435593158,,[H]C([H])([H])C([H])([H])C1([H])C(=O)N1C1([H])C([H])([H])C1([H])[H].[H]C1([H])C(=O)N1C([H])([H])C([H])([H])[H],
mol_2023_02_23_1600371_000,31,0.8387096774193549,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.439396509528181,False,0.4510925881810743,6.189075027152272,[H]Oc1c([H])c([H])c([H])/c(=N/OC([H])([H])O[H])c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c1[H],1.6321974934718884
mol_2023_02_23_1419251_000,31,0.8709677419354839,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.43754432442037,True,0.6083739477575847,,[H]NC(=O)C([H])([H])[H].[H]c1[nH]c(=O)n([H])c2nc(OC([H])([H])[H])c(=O)c=2c1C([H])([H])[H],
mol_2023_02_23_1458331_000,31,0.7741935483870968,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.662359226507468,False,0.638856381394545,6.410211902726885,[H]c1c([H])c([H])c2c(c1[H])NNC(=O)C([H])([H])Oc1c([H])c(Br)c(Cl)c([H])c1NC2=O,2.4958243101200193
mol_2023_02_23_1549572_000,31,0.935483870967742,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",4.59656679122921,True,0.4740833913284445,,[H]/C(=C(\[H])C([H])([H])[H])C([H])([H])[H].[H]/C(=[N+](/[H])C([H])([H])[H])[C@@]1([H])C(=O)C([H])([H])C([H])([H])OC1([H])[H],
mol_2023_02_23_1528300_000,31,0.7741935483870968,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.478229038337708,True,0.7252205743428691,,[H]C([H])([H])[H].[H]C1=NC([H])(C([H])([H])C([H])([H])C2([H])NN2C(=O)[C@@]2([H])SC2([H])[H])C(=O)N([H])C([H])=C1[H],
mol_2023_02_23_1416020_000,31,0.7741935483870968,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.238723372496241,False,0.3508437763536237,6.230302420852864,[H]OC1([H])C([H])=NNC([H])=NN1C([H])([H])NC(=O)NC1([H])N([H])C(=O)NC([H])(C([H])([H])[H])C1([H])[H],1.467890027901665
mol_2023_02_23_1553190_000,31,0.935483870967742,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.353340835100822,False,0.6959521774083067,3.30092982871171,[H]C1=NC(=O)C(N([H])[C@]2([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C2([H])[H])=C1C([H])([H])[H],1.651763675154208
mol_2023_02_23_1318273_000,31,0.7419354838709677,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.255031627878963,False,0.4934836078863661,7.38739305051581,[H]OC1=C(\OC([H])([H])[H])C([H])([H])NC(=O)/C([H])=C([H])/C([H])=C\1C(=O)NN([H])C(=O)C([H])([H])[H],1.5795970340222785
mol_2023_02_23_1305252_000,31,0.8064516129032258,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.432763860285088,True,0.3776375471847378,,[H]C1=NC([H])([H])C(F)=C([H])N1.[H]N=C(Br)C([H])([H])C([H])(C([H])([H])O[N+](=O)[O-])[C@]([H])(O[H])C([H])([H])[H],
mol_2023_02_23_1546462_000,31,0.9032258064516128,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.423270489140675,True,0.5078636708877144,,[H]C([H])=C([H])C1([H])C([H])=C([H])C([H])=C1[H].[H]N1C([H])([H])[C@]1([H])C([H])(C([H])([H])[H])C([H])([H])[H],
mol_2023_02_23_1437593_000,31,0.8064516129032258,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.145507246358085,True,0.7991565823196485,,Br.[H]c1nc2c(c([H])c1[H])N(C([H])([H])SC([H])([H])C([H])([H])[H])C([H])([H])OO[C@]2([H])C([H])([H])[H],
mol_2023_02_23_1429541_000,31,0.9032258064516128,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.72376333492934,True,0.4320582965636677,,[H]C1=C(Cl)C(Cl)=C(Cl)C1=S.[H]C1=C([H])C([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H],
mol_2023_02_23_1531211_000,31,0.935483870967742,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",5.142535458348403,False,0.5743969154850458,7.684594874706281,[H]/C1=C(\[H])C([H])([H])C(=O)C([H])(C([H])([H])[H])/C(C([H])([H])[H])=N/OC([H])([H])C([H])([H])C([H])([H])NNN1,1.644014685898676
mol_2023_02_23_1453203_000,31,0.7096774193548387,exp_22,0,1000,0.0,"Effect of SILVR rate on sampling using fragments Mpro-x0072_0A and Mpro-x0354_0A, rate=0",4.961405350466834,False,0.5145828404050548,6.76194179135672,[H]C1=C([H])N([H])C2([H])C(=C1[H])C(=O)C([H])(NO)C1=C([H])C([H])(C([H])([H])[H])SC3([H])C(=O)N([H])C2=C13,1.188966533626286
