exp_id,mol_id,smiles
exp_5,mol_2023_02_05_1431473_000,[H]C1=C([H])C([H])(C([H])([H])C([H])([H])C(=O)C([H])([H])C(=O)O)C(C(=O)C(N([H])N([H])[H])(C([H])([H])[H])C([H])([H])[H])=C1[H]
exp_5,mol_2023_02_05_1540022_000,[H]OC([H])([H])N(C([H])([H])C([H])([H])C1([H])NN([H])C([H])([H])S1)C([H])(C([H])([H])C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C1([H])[H]
exp_5,mol_2023_02_05_1448462_000,[H]OC([H])([H])/C(=C1/SN(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C1=O)C([H])([H])OC([H])([H])C([H])([H])C([H])([H])[H]
exp_5,mol_2023_02_05_1436480_000,[H]C(=O)C([H])(C([H])([H])[H])C([H])([H])c1c(F)c([H])c([H])c([H])c1C(=O)N([H])C(=O)NC([H])([H])C([H])([H])C([H])([H])[H]
exp_5,mol_2023_02_05_1354270_000,[H]Oc1c([H])c([H])c([H])c2c1C([H])([H])C([H])([H])N=C2N[C@]([H])(NC([H])([H])NNNC([H])([H])C([H])([H])[H])C([H])([H])[H]
exp_5,mol_2023_02_05_1505291_000,[H]N=C([H])C([H])(C([H])([H])C(=O)/N=C(\[H])C([H])([H])C(=O)NC([H])([H])/C([H])=C(/[H])C([H])([H])[H])C([H])([H])C(=O)C([H])([H])[H]
exp_5,mol_2023_02_05_1345433_000,[H]C1=NO[C@@]([H])(N([H])C2=C(F)C([H])=C([H])C([H])([H])N2[H])OC2=NC([N-]C3([H])OC([H])=C([H])C([H])=C3[H])=[N+]([H])C12[H]
exp_5,mol_2023_02_05_1409511_000,[H]C1=C([H])C(C([H])([H])[C@]2([H])C(=O)N(C(=O)C([H])([H])[H])C([H])([H])C(=O)N2[H])=C([H])C([H])([H])C(C([H])([H])[H])=N1
exp_5,mol_2023_02_05_1351060_000,[H]/C(=N/C([H])(Br)C([H])([H])C([H])(NN([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[H])SC(=O)N([H])[H])N1C(=O)C(=O)N1[H]
exp_5,mol_2023_02_05_1402283_000,[H]Oc1c([H])c([H])c(C(=O)C(=O)NC([H])([H])C([H])([H])C([H])([H])[H])c2[nH]c(=O)c(C(=O)C([H])([H])O[H])nc12
exp_5,mol_2023_02_05_1435173_000,[H]N1OC2=C(N([H])C(=O)S[C@]3([H])N([H])C([H])([H])C([H])([H])C3([H])[H])NN=C(NC([H])([H])C([H])([H])[H])C2([H])C1=O
exp_5,mol_2023_02_05_1501191_000,[H]C(=N)C([H])([H])O[S@@](O)(N([H])[H])N(NC1([H])N2NN([H])C(=O)C([H])(C([H])([H])[H])C21[H])c1nc([H])c([H])c(Br)c1[H]
exp_5,mol_2023_02_05_1245380_000,[H]c1c([H])c([H])c(C([H])([H])[C@]2(O[C@@]3([H])OC3([H])C([H])([H])[H])C([H])([H])OC([H])([H])C([H])([H])C2([H])[H])c([H])c1[H]
exp_5,mol_2023_02_05_1609062_000,[H]N1C(=O)N(C(F)(F)F)N=C(Br)C1([H])C([H])([H])C([H])([H])C1([H])NN1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])N=O
exp_5,mol_2023_02_05_1409273_000,[H]NC1([H])OC([H])=Nc2c([H])c([H])c(NC(=S)OC([H])([H])[C@@]([H])(O)C([H])([H])C(=O)NC([H])([H])[H])c([H])c21
exp_5,mol_2023_02_05_1405520_000,[H]OC([H])(C1=C([H])OC1([H])NC([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])NC(=O)C(=O)C1([H])N[C@]1(O[H])C([H])([H])C([H])([H])C([H])([H])[H]
exp_5,mol_2023_02_05_1323161_000,[H]N=C(/C([H])=C([H])/N=C(\C1([H])OC1=S)C([H])(C(=O)C([H])(OC([H])([H])[H])[C@]1([H])C([H])([H])S1(=O)=O)N([H])[H])C([H])([H])[H]
exp_5,mol_2023_02_05_1345311_000,[H]c1c([H])c(O[C@@]2([H])OC([H])(NC(=O)C([H])([H])[H])OC([H])([H])[C@@]([H])(C([H])([H])[H])C2([H])[H])c([H])c([H])c1Cl
exp_5,mol_2023_02_05_1358583_000,[H]N=C(NC([H])([H])C([H])=C=C(OC([H])([H])[H])N([H])NC([H])([H])C([H])([H])C([H])([H])[H])C([H])(Nn1sn1[H])C([H])([H])[H]
exp_5,mol_2023_02_05_1334231_000,[H]N1C(=O)N([H])C([H])([H])C([H])([H])N([H])C([H])([H])N([H])N([H])C([H])([H])C2=C1N([H])C([H])(C([H])([H])[H])N([H])C2([H])[H]
exp_5,mol_2023_02_05_1415023_000,[H]OC([H])(OC([H])(C([H])=C=C([H])/C([H])=C(/[H])OC([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])/C([H])=C(\[H])F
exp_5,mol_2023_02_05_1439041_000,[H]OC1=C([H])N=C([H])C([H])([H])C(C(=O)N(C(=O)[C@@]2(C([H])([H])[H])C([H])([H])C2([H])[H])S(O)(O)O)=C1NC([H])([H])[H]
exp_5,mol_2023_02_05_1547392_000,[H]/C([N-]C([H])([H])NC(=O)C([H])([H])N([H])C(=O)C([H])([H])OC([H])([H])[H])=C(\[H])C([H])([H])/C([H])=[N+](/[H])C(=O)C([H])([H])[H]
exp_5,mol_2023_02_05_1312123_000,[H]N/C([H])=C(/C([H])([H])C([H])([H])C(=O)C([H])([H])C(=O)C([H])([H])C([H])([H])[H])C([H])(C([H])=C([H])[H])C([H])([H])C([H])([H])N([H])[H]
exp_5,mol_2023_02_05_1531112_000,[H]/C1=N\C(=O)C([H])([H])N(C([H])([H])[C@]2([H])C([H])([H])[C@]2([H])C([H])([H])[H])C([H])([H])C(=O)O/C(NC([H])([H])[H])=C(\[H])C([H])([H])C1([H])[H]
exp_5,mol_2023_02_05_1631132_000,[H]C1=NC([H])(N([H])C([H])([H])C([H])([H])[H])C([H])(N([H])[H])C([H])(N([H])C(=S)C([H])([H])/C([H])=C(/[H])OC([H])([H])[H])C([H])=N1
exp_5,mol_2023_02_05_1529501_000,[H]N[S@]1(Cl)N(C([H])([H])C([H])([H])NN(C(=O)C([H])(C(=O)Cl)C2=C([H])C([H])([H])C(Br)=C2[H])C([H])([H])C([H])([H])[H])C1([H])[H]
exp_5,mol_2023_02_05_1345013_000,[H]/C(=C(\C(=O)C([H])([H])C([H])([H])[H])N1O[C@]1([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C1([H])NC([H])([H])S[C@]2([H])N([H])[S@]12O
exp_5,mol_2023_02_05_1501302_000,[H]C1=C(N([H])[H])C([H])([H])[C@@]([H])(NC([H])([H])C([H])(OO)/C([H])=[N+](/[H])C(=O)N2C(=O)[C@]2([H])C([H])([H])[N+](=O)[O-])C([H])=C1[H]
exp_5,mol_2023_02_05_1253032_000,[H]C1=C([H])C2([H])SC3([H])N([H])C([H])(C(=O)C4([H])N([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])C(=O)[C@]4([H])C([H])(NC2([H])S1)[C@]34[H]
exp_5,mol_2023_02_05_1315310_000,[H]O[C@]([H])(N([H])C(=O)c1sc([H])c([H])c1Br)C([H])([H])C(=O)C(=O)N([H])C1=NC([H])(C([H])([H])[H])N=C([H])O1
exp_5,mol_2023_02_05_1514223_000,[H]NC([H])(/C([H])=N/N([H])C([H])([H])[H])/C(=N\C([H])([H])C([H])([H])OC([H])([H])C([H])([H])C(=C([H])[H])C([H])([H])[H])ON([H])[H]
exp_5,mol_2023_02_05_1436070_000,[H]C1=C(C([H])([H])[H])C([H])([H])C(/N=N\C([H])([H])C([H])([H])NNC(=O)C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])=N1
exp_5,mol_2023_02_05_1440523_000,[H]OC([H])([H])C1=C([H])C([H])=C(NC([H])([H])C([H])([H])[C@@]2([H])N(C([H])([H])N([H])N([H])C([H])([H])[H])S2(=O)=O)C1([H])[H]
exp_5,mol_2023_02_05_1306262_000,[H]N([H])C([H])([H])OOC([H])([H])C([H])([H])C([H])(C#N)[N-]NN([H])C([H])([H])C([H])([H])[C@]1([H])[C@]([H])(C([H])([H])[H])[N+]1([H])[H]
exp_5,mol_2023_02_05_1402172_000,[H]c1nc(NNC([H])([H])SC2([H])N[C@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C(=O)N2[H])c(C([H])([H])[H])c([H])c1[H]
exp_5,mol_2023_02_05_1359072_000,[H]Oc1c([H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])O[S@@](O)(N([H])[H])[C@@]([H])(C([H])([H])[H])C([H])(O[H])C([H])([H])O[H]
exp_5,mol_2023_02_05_1517080_000,[H]C1=C(C(F)(F)F)C(=O)C([H])([H])C(C(=O)C([H])(C#N)C2([H])N([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])=C1[H]
exp_5,mol_2023_02_05_1405411_000,[H]C1=C([H])/C(=C(\[H])C([H])([H])[N-2])C([H])=C1C1([H])N(N2C([H])=C([H])C3([H])N(NC(=O)OC([H])([H])C(=O)S)N3C2([H])[H])C1([H])[H]
exp_5,mol_2023_02_05_1503010_000,[H]OC1=C([H])C([H])=C(C2=NC(C([H])([H])[H])=C([H])C3([H])O[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])N23)C([H])([H])C1([H])[H]
exp_5,mol_2023_02_05_1319042_000,[H]N/C1=N\C([H])([H])NC(=O)C([H])([H])C(=O)N([H])C([H])([H])[C@]([H])([C@]2([H])OC2([H])[H])N([H])/C(O[H])=N/C(=O)N1[H]
exp_5,mol_2023_02_05_1302241_000,[H]OC1([H])/C([H])=C(/[H])C([H])=C=C([H])C2=C(Cl)N(C(=O)[C@]([H])(C([H])([H])O[H])C([H])([H])C([H])([H])C([H])([H])[H])N([H])C21[H]
exp_5,mol_2023_02_05_1535122_000,[H]C1=C2NNC([H])([H])SC2([H])C(/C([H])=[N+](\[H])C([H])([H])C([H])([H])C(=O)[O-])=C([H])C(C([H])([H])C([H])([H])[H])=C1[H]
exp_5,mol_2023_02_05_1416263_000,[H]c1c([H])c([H])c([C@@]([H])(N(C(=O)NC(=O)N/N=N/C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H])c([H])c1[H]
exp_5,mol_2023_02_05_1258143_000,[H]C1=C([H])N([H])[C@]([H])(SC2([H])N(N([H])C([H])([H])[H])[C@]2([H])C(=O)C([H])(C([H])([H])[H])C2([H])C([H])=C(Cl)C([H])=C2Cl)S1
exp_5,mol_2023_02_05_1315003_000,[H]N(NC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(=O)C1([H])C([H])([H])[C@]1([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H]
exp_5,mol_2023_02_05_1510533_000,[H]OC1([H])C(C([H])(OC([H])([H])O)C(=O)N2C(=O)[C@@]2([H])C([H])([H])O[H])=C([H])C([H])=C1C([H])([H])/C([H])=C(/[H])C([H])([H])Cl
exp_5,mol_2023_02_05_1531073_000,[H]O[C@]1([H])OC([H])(/[N+]([H])=C(/C([H])=C([H])[H])C([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H])N([H])c2nnc([H])c([H])c2S1
exp_5,mol_2023_02_05_1400071_000,[H]C1=C([H])N2C([H])([H])ONC([H])([H])/C([H])=C([H])\C([H])=N\C(=O)N(C([H])([H])C([H])([H])N([H])C(=O)O)C1=C1NC12[H]
exp_5,mol_2023_02_05_1519322_000,[H]OC([H])([H])/[N+]([H])=C(\C([H])([H])C(=[N-])SC([H])(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H])C([H])([H])C([H])=C([H])[H]
exp_5,mol_2023_02_05_1558022_000,[H]C([H])=C1C([H])([H])C(=O)C([H])([H])C1([H])N([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H]
exp_5,mol_2023_02_05_1456180_000,[H]/C(=C(C#N)/[N+]([H])=C(\C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[C@]1([H])C([H])([H])[C@@]1([H])C(=O)[N-]NC(=O)OC([H])([H])[H]
exp_5,mol_2023_02_05_1355293_000,[H]N=C([H])Sc1c([H])nc(SC([H])([H])[H])c(N([H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H])c1[H]
exp_5,mol_2023_02_05_1336590_000,[H]N(NC([H])([H])C1([H])/C(=C2\C([H])([H])SN3SC4=C(C23[H])C([H])([H])C([H])([H])S(=O)(=O)C4([H])[H])C1([H])C([H])([H])[H])C([H])([H])[H]
exp_5,mol_2023_02_05_1456271_000,[H]c1c([H])c(C([H])([H])[H])c(C([H])([H])N([H])[C@@]([H])(C([H])([H])[H])C([H])([H])[C@@]([H])(OC([H])([H])[H])C(=O)O)c([H])c1Cl
exp_5,mol_2023_02_05_1531131_000,[H]C1=C([H])C([H])([H])NC([C@]([H])(OC(=O)C([H])([H])[H])N(C(=O)N([H])C([H])([H])OC([H])([H])C([H])([H])[H])C([H])([H])[H])=NC1([H])[H]
exp_5,mol_2023_02_05_1258131_000,[H]OC([H])(C([H])([H])C([H])([H])/N=C(/[H])C([H])(N([H])[H])C([H])([H])[H])C([H])([H])C1([H])Oc2c([H])c([H])c([H])c([H])c2C([H])([H])N1[H]
exp_5,mol_2023_02_05_1346131_000,[H]C1=NN=C2C(=C([H])C([H])=C([H])C2([H])[H])C([H])=C1C([H])([H])OC([H])([H])C([H])(OC([H])([H])[H])OC([H])([H])C([H])([H])[H]
exp_5,mol_2023_02_05_1418313_000,[H]N/C([H])=C(/C([H])([H])[H])C([H])(C([H])([H])OO[H])C([H])([H])C(=O)N([H])NC1=C([H])/C(=C([H])/C([H])=C(/[H])O[H])C([H])=C1[H]
exp_5,mol_2023_02_05_1310073_000,[H]Oc1c([H])c([H])c2c(c1/C(ON([H])[H])=C(/[H])C([H])([H])[H])=[S+][N+]=2C(=O)C1=C(C([H])([H])[H])C([H])(C([H])([H])[H])N=N1
exp_5,mol_2023_02_05_1450383_000,[H]O[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])(C(=S)C([H])([H])OC([H])([H])[H])C([H])([H])NC1=NNNC2=C([H])C([H])([H])N([H])C(=O)N12
exp_5,mol_2023_02_05_1320353_000,[H]O/C(=C1\C([H])([H])C1([H])/C([H])=C(/[H])C([H])(O[H])C(=O)SC([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H])N([H])[H]
exp_5,mol_2023_02_05_1429423_000,[H]/C(=C(\[H])C([H])(OC([H])([H])C([H])([H])[H])C1([H])N([H])N1C([H])([H])C([H])([H])NC([H])([H])C([H])([H])N([H])C([H])([H])[H])C([H])([H])[H]
exp_5,mol_2023_02_05_1415251_000,[H]C1=C([H])/C(=N\OC(=O)N([H])C([H])([H])/C([H])=C(/[H])NC2=C([H])C([H])=C(C(=O)O)C2([H])[H])C([H])(C([H])([H])[H])C([H])=C1Br
exp_5,mol_2023_02_05_1410432_000,[H]C1=C([H])C([H])([H])C(C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])N([H])C(=O)C2=C([H])C([H])([H])C([H])=C2[H])=C([H])S1
exp_5,mol_2023_02_05_1503241_000,[H]OC([H])([H])C([H])(/C(=N/OC([H])([H])[H])C([H])([H])C([H])([H])Oc1c([H])nc([H])c([H])c1[H])/C([H])=C(\[H])OC([H])([H])[H]
exp_5,mol_2023_02_05_1348352_000,[H]C([H])=C=C([H])C1([H])OC([H])([H])S[S@@](O)(C(=S)C([H])([H])C(=O)Cl)N([H])/C([H])=C(C(/Br)=C(/[H])C([H])([H])[H])\C([H])([H])NC1([H])[H]
exp_5,mol_2023_02_05_1627042_000,[H]C1=C([H])C([H])(Cl)C(N([H])N([H])C2=C([H])C([H])=C([H])[C@@]2([H])OC([H])([H])N([H])C(=O)C(=O)C([H])([H])[H])=C1[H]
exp_5,mol_2023_02_05_1343373_000,[H]N(C([H])([H])N([N+](=O)[O-])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[C@]([H])(C([H])([H])C(=O)C([H])([H])[H])C1([H])C([H])([H])C1([H])[H]
exp_5,mol_2023_02_05_1348240_000,[H]c1c([H])c([H])c(O[C@@]([H])(N([H])[H])C([H])([H])N(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])[H])c([H])c1[H]
exp_5,mol_2023_02_05_1329372_000,[H]OC([H])(C([H])([H])/C(OOC([H])([H])[H])=C(\[H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])[H])[C@](O[H])(N([H])[H])C([H])([H])[H]
exp_5,mol_2023_02_05_1523520_000,[H]C1=C([H])C([H])(C([H])([H])C([H])([H])[H])C(NNC(=O)N([H])c2c([H])c([H])c([H])c(C(=O)C([H])([H])[H])c2[H])=C1[H]
exp_5,mol_2023_02_05_1440090_000,[H]c1c([H])c([H])c(N(C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])(OC([H])([H])[H])N([H])C(=O)C([H])([H])[H])c([H])c1[H]
exp_5,mol_2023_02_05_1246570_000,[H]c1nc([H])c2c(c1[H])[C@]1([H])C([H])([H])C([H])([H])N(C([H])([H])OC([H])([H])[H])C(=O)[C@]1([H])OC([H])([H])C2=O
exp_5,mol_2023_02_05_1412492_000,[H]OC([H])([H])C1([H])OC1([H])C([H])(C([H])([H])[N+](=O)[O-])C([H])([H])C1([H])c2c(C([H])([H])C([H])([H])[H])nc([H])c([H])c2SC1([H])Cl
exp_5,mol_2023_02_05_1437401_000,[H]O/N=C1\C(C([H])([H])[H])=C([H])C(=O)C([H])(OC([H])(ON([H])[H])c2c([H])c([H])c([H])c(C#N)c2C([H])([H])[H])C1([H])[H]
exp_5,mol_2023_02_05_1439290_000,[H]/C1=N\O[C@@]([H])(C([H])([H])OC([H])([H])C(=O)C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])OC([H])([H])C([H])([H])C1([H])[H]
exp_5,mol_2023_02_05_1328550_000,[H]OC1([H])C(=O)C([H])([H])N(C([H])([H])[H])C([H])([H])O/N=C\1C([H])([H])C([H])([H])NC([H])([H])N(C([H])([H])[H])C([H])([H])[H]
exp_5,mol_2023_02_05_1449502_000,[H]C(=C=C([H])C([H])([H])[H])N([H])C([H])([H])OC(=O)C([H])([H])N([H])C([H])([H])NC([H])([H])C([H])(OC([H])([H])[H])C([H])([H])[H]
exp_5,mol_2023_02_05_1321111_000,[H]Oc1c([H])c([H])c(NC([H])([H])C(=O)[C@@]([H])(O[H])C([H])([H])C([H])([H])O[H])c2c1SC([H])=C(F)C(=O)C2([H])[H]
exp_5,mol_2023_02_05_1435351_000,[H]N=C(N/C([H])=N/C(=O)NC([H])(C([H])([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H])/C([H])=C(/[H])C([H])([H])[H]
exp_5,mol_2023_02_05_1327343_000,[H]C1=C(N([H])C([H])([H])N2C(=O)C([H])([H])C2([H])[H])C(=S)OC1([H])N([H])C(=O)C([H])([H])C([H])([H])SC([H])([H])[H]
exp_5,mol_2023_02_05_1357353_000,[H]/C(NC([H])([H])[H])=C(\[H])C([H])([H])N1C(=O)N1C([H])([H])C([H])(C(=O)O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])NC(=O)Br
exp_5,mol_2023_02_05_1557202_000,[H]/C1=N/C([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C2([H])C([H])([H])C(=O)C([H])([H])[C@@]([H])(C([H])([H])[H])C2([H])S(=O)(=O)N1[H]
exp_5,mol_2023_02_05_1443403_000,[H]C1=NN=C2C([H])([H])Oc3c([H])c(C([H])([H])C([H])([H])/C([H])=N\OC([H])([H])[H])nc(C([H])([H])[H])c3C([H])([H])C2([H])O1
exp_5,mol_2023_02_05_1308100_000,[H]C1=C(C([H])([H])C2([H])N=C(OC(=O)C([H])([H])C([H])([H])C(=O)NC(=S)N([H])[H])N([H])C(=O)N2[H])C([H])([H])C([H])([H])O1
exp_5,mol_2023_02_05_1503123_000,[H]N=C(NC([H])(NC(=O)N([H])C([H])([H])C1=C([H])SC([H])([H])C1([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H]
